Treatment,FS,GS,RS,Block,CWM_Hn,CWM_Hm,PL,BioticPL,NecrotroPL,CWM_Herbivory,PlotAbovegroundBiomass,SoilWater,SoilWater_2mm,SoilpH,SoilN,SoilC,SoilC/N,SoilAP,shannon,simpson,SR,Pielou,Penetration,Temperature_m,Moisture_m,Litterbiomass,AMF
GenuineShrub,0,1,0,B7,16.7070332,17.48021843,0.008778232,0.001823751,0.006954481,3.85E-05,27.5988,91.34615385,64.58128079,6.06,0.56,6.19,11.0002,19.35562134,1.592590233,0.716030732,16,0.574405508,0.028374351,14.72568818,96.93407934,8.4,6.52
GenuineShrub,0,1,0,B8,15.5002309,16.9447027,0.048980108,0.008324702,0.040655405,0.025281292,20.5653,87.20769122,49.4100295,6.23,0.39,3.94,10.0466,6.68148756,1.661254803,0.713686439,20,0.554540477,0.034625625,15.09677723,94.85468125,6.63,6.56
GenuineShrub,0,1,0,B9,1.502811359,1.655384173,0.002655808,0,0.002655808,0.012391593,7.6499,78.96865899,52.07772795,6.17,0.45,4.69,10.3323,8.969492316,1.075248614,0.391660908,19,0.365179452,0.030830966,16.77587101,87.28196074,3.55,6.4
RemovedShrub,0,0,1,B1,18.17892199,19.02115933,0.034022776,0.000321041,0.033701734,0.011059023,29.5497,70.05955604,62.39747634,6.08,0.41,4.35,10.6213,19.65156555,1.957592927,0.786754765,28,0.587476825,0.113009456,12.7123039,95.68206123,7.29,5.852688172
RemovedShrub,0,0,1,B10,14.06567983,14.6025166,0.023262198,0,0.023262198,0.00494453,25.8958,103.1620553,61.632,6.27,0.47,4.98,10.6186,14.35157776,1.996620904,0.786346341,26,0.612818215,0.138322476,13.00906372,98.00175983,10.42,2.433333333
RemovedShrub,0,0,1,B2,11.21710131,11.79204496,0.041987207,0,0.041987207,0.007223067,30.1933,68.04853387,47.53623188,6.1,0.35,3.69,10.5242,8.961570859,1.924035524,0.750357498,23,0.613630704,0.103912009,15.82574661,76.50082579,19.45,3.8
RemovedShrub,0,0,1,B3,18.73471382,19.85295479,0.01986548,0,0.01986548,0.001659971,26.5338,106.2445031,58.72641509,6.25,0.56,6.14,11.0447,19.59958673,2.053869505,0.800504921,19,0.697541881,0.151669364,15.89458843,79.54773884,7.31,3.72
RemovedShrub,0,0,1,B4,19.53903718,20.40325273,0.060600742,0.011274901,0.049325841,0.014297273,46.1169,79.25274269,49.12857143,6.17,0.39,3.98,10.1181,2.720432878,1.897948151,0.767061103,24,0.597204532,0.109601176,15.17839008,90.73556261,8.17,5.4
RemovedShrub,0,0,1,B5,17.57278117,18.33549879,0.044102611,0,0.044102611,0.024975396,41.8774,124.9132948,61.65064103,6.11,0.51,5.69,11.2052,11.47086263,1.911605323,0.795320448,25,0.593873584,0.099195605,17.43802556,79.41154358,7.31,3.7
RemovedShrub,0,0,1,B6,18.52731696,19.41444465,0.076241886,0.001395109,0.074846777,0.005879415,31.9545,93.72609028,62.55216693,6.06,0.44,4.36,9.9634,16.35148048,2.208303354,0.858063966,22,0.71442026,0.124324007,19.73714235,82.89939237,22.18,10.4
RemovedShrub,0,0,1,B7,33.1479477,36.4125375,0.045071797,0,0.045071797,0.014555851,29.0937,76.91990091,48.84272997,6.22,0.48,5.22,10.7812,9.218901992,1.739530816,0.737391259,12,0.700038698,0.140187744,18.4414749,90.00295793,7.67,5.8
RemovedShrub,0,0,1,B8,18.2789067,18.97076055,0.028120304,0,0.028120304,0.005454668,23.6374,58.69209713,55.36697248,6.17,0.52,5.55,10.6968,11.32022142,1.973904369,0.809838996,17,0.696701635,0.151043054,21.5870225,81.41121795,5.1,2.333333333
RemovedShrub,0,0,1,B9,16.42845288,17.182033,0.061500163,9.90E-05,0.061401193,0.008764674,37.3309,97.32013314,57.82945736,6.19,0.47,5.07,10.6983,10.95819354,2.16452708,0.814773987,28,0.649578102,0.166979749,18.78200487,89.44016856,7.71,5.5
